date;value
21/12/2013;7650
28/12/2013;10044
04/01/2014;9664
11/01/2014;7514
18/01/2014;6921
25/01/2014;5697
01/02/2014;5203
08/02/2014;5323
15/02/2014;5252
22/02/2014;6302
01/03/2014;5482
08/03/2014;5120
15/03/2014;4983
22/03/2014;5569
29/03/2014;4350
05/04/2014;5115
12/04/2014;5280
19/04/2014;6337
26/04/2014;4975
03/05/2014;9074
10/05/2014;8111
17/05/2014;7044
24/05/2014;6816
31/05/2014;7919
07/06/2014;7789
14/06/2014;7602
21/06/2014;10137
28/06/2014;10887
05/07/2014;10195
12/07/2014;11242
19/07/2014;10111
26/07/2014;7631
02/08/2014;7437
09/08/2014;7766
16/08/2014;7127
23/08/2014;6298
30/08/2014;5819
06/09/2014;4699
13/09/2014;6577
20/09/2014;6800
27/09/2014;7476
04/10/2014;7717
11/10/2014;7023
18/10/2014;5949
25/10/2014;5881
01/11/2014;6774
08/11/2014;5536
15/11/2014;5037
22/11/2014;4513
29/11/2014;5106
06/12/2014;6166
13/12/2014;6716
20/12/2014;7707
27/12/2014;9239
03/01/2015;10632
10/01/2015;6074
17/01/2015;5028
24/01/2015;4383
31/01/2015;3823
07/02/2015;3704
14/02/2015;3744
21/02/2015;4663
28/02/2015;3900
07/03/2015;4902
14/03/2015;4359
21/03/2015;4417
28/03/2015;4022
04/04/2015;4655
11/04/2015;4351
18/04/2015;3779
25/04/2015;4650
02/05/2015;4399
09/05/2015;4574
16/05/2015;4641
23/05/2015;4541
30/05/2015;6452
06/06/2015;6220
13/06/2015;6491
20/06/2015;6892
27/06/2015;7424
04/07/2015;7190
11/07/2015;6106
18/07/2015;6706
25/07/2015;5145
01/08/2015;4916
08/08/2015;4529
15/08/2015;4774
22/08/2015;4835
29/08/2015;3824
05/09/2015;5314
12/09/2015;4453
19/09/2015;3803
26/09/2015;4503
03/10/2015;4300
10/10/2015;4570
17/10/2015;4730
24/10/2015;4749
31/10/2015;4980
07/11/2015;4284
14/11/2015;4017
21/11/2015;6261
28/11/2015;7107
05/12/2015;4963
12/12/2015;6291
19/12/2015;6877
26/12/2015;7021
02/01/2016;9633
09/01/2016;5375
16/01/2016;6838
23/01/2016;4171
30/01/2016;3896
06/02/2016;3558
13/02/2016;4396
20/02/2016;4124
27/02/2016;3456
05/03/2016;4359
12/03/2016;4205
19/03/2016;3849
26/03/2016;4717
02/04/2016;3599
09/04/2016;3849
16/04/2016;3817
23/04/2016;3929
30/04/2016;3960
07/05/2016;5496
14/05/2016;4524
21/05/2016;4417
28/05/2016;4928
04/06/2016;5861
11/06/2016;4234
18/06/2016;5894
25/06/2016;6731
02/07/2016;8066
09/07/2016;8007
16/07/2016;8571
23/07/2016;5575
30/07/2016;5563
06/08/2016;5056
13/08/2016;5337
20/08/2016;6062
27/08/2016;4396
03/09/2016;6340
10/09/2016;4638
17/09/2016;4788
24/09/2016;4137
01/10/2016;4270
08/10/2016;5669
15/10/2016;4838
22/10/2016;4769
29/10/2016;4688
05/11/2016;5495
12/11/2016;4520
19/11/2016;6833
26/11/2016;6208
03/12/2016;6395
10/12/2016;7221
17/12/2016;7751
24/12/2016;8010
31/12/2016;12451
07/01/2017;8218
14/01/2017;4895
21/01/2017;5461
28/01/2017;4311
04/02/2017;3886
11/02/2017;3438
18/02/2017;5009
25/02/2017;4146
04/03/2017;4491
11/03/2017;4358
18/03/2017;4027
25/03/2017;4394
01/04/2017;4112
08/04/2017;4239
15/04/2017;4598
22/04/2017;4378
29/04/2017;5042
06/05/2017;4212
13/05/2017;3735
20/05/2017;3940
27/05/2017;4145
03/06/2017;4388
10/06/2017;4504
17/06/2017;4784
24/06/2017;7721
01/07/2017;6544
08/07/2017;6606
15/07/2017;6512
22/07/2017;6119
29/07/2017;6310
05/08/2017;4703
12/08/2017;4374
19/08/2017;4273
26/08/2017;3841
02/09/2017;4757
09/09/2017;4151
16/09/2017;4263
23/09/2017;4423
30/09/2017;3673
07/10/2017;3902
14/10/2017;3477
21/10/2017;3430
28/10/2017;3612
04/11/2017;3939
11/11/2017;3849
18/11/2017;4170
25/11/2017;5250
02/12/2017;6217
